DTYYYYMMDD,Open,High,Low,Close,Vol
19700101,1.22116,1.22214,1.2199,1.22155,3174.0
19700102,1.22143,1.22196,1.21993,1.22077,5363.0
19700103,1.22077,1.22096,1.21625,1.21672,7743.0
19700104,1.21672,1.21872,1.21635,1.21772,6678.0
19700105,1.21773,1.21929,1.2165,1.21725,5653.0
19700106,1.21724,1.21886,1.21615,1.21833,6447.0
19700107,1.21833,1.21927,1.21728,1.21786,5503.0
19700108,1.21787,1.21809,1.21662,1.21703,4631.0
19700109,1.21703,1.21862,1.21683,1.21798,6205.0
19700110,1.21799,1.22086,1.2174,1.2192,7297.0
19700111,1.2192,1.2192,1.21707,1.21762,3914.0
19700112,1.21761,1.21832,1.21689,1.21691,3103.0
19700113,1.21691,1.21782,1.21648,1.21782,2721.0
19700114,1.21781,1.21844,1.21724,1.21732,2266.0
19700115,1.21733,1.2177,1.21666,1.21749,2963.0
19700116,1.2175,1.21787,1.21612,1.21641,1412.0
19700117,1.21693,1.21821,1.21619,1.21709,341.0
19700118,1.21709,1.21873,1.21677,1.21853,644.0
19700119,1.21853,1.21879,1.21806,1.21858,2554.0
19700120,1.21857,1.21917,1.21775,1.21863,2405.0
19700121,1.21863,1.21874,1.21751,1.21812,3044.0
19700122,1.21812,1.21818,1.21734,1.21739,3245.0
19700123,1.21739,1.2182,1.21739,1.21773,2757.0
19700124,1.21775,1.2182,1.21774,1.21803,2014.0
19700125,1.21804,1.21836,1.21711,1.21752,2223.0
19700126,1.21751,1.21801,1.21695,1.21729,3708.0
19700127,1.21727,1.2178,1.21637,1.21657,4078.0
19700128,1.21654,1.21874,1.21645,1.21821,3506.0
19700129,1.21822,1.21886,1.21779,1.21864,3938.0
19700130,1.21864,1.21864,1.21782,1.21823,3219.0
19700131,1.21823,1.21921,1.21738,1.21915,3684.0
19700201,1.21916,1.21926,1.21843,1.21845,3794.0
19700202,1.21842,1.21961,1.21815,1.21952,4266.0
19700203,1.2195,1.22035,1.21877,1.2196,4273.0
19700204,1.21959,1.21995,1.21894,1.21953,2084.0
19700205,1.21953,1.22002,1.21847,1.21863,1840.0
19700206,1.21863,1.21956,1.21859,1.21922,2890.0
19700207,1.21921,1.21943,1.21904,1.2193,3133.0
19700208,1.2193,1.21947,1.21898,1.21938,2688.0
19700209,1.21938,1.21945,1.21766,1.21786,4521.0
19700210,1.21843,1.21923,1.2178,1.21815,823.0
19700211,1.21824,1.21908,1.21795,1.21886,1200.0
19700212,1.21886,1.2202,1.21879,1.22016,2230.0
19700213,1.22017,1.22187,1.2197,1.22169,3091.0
19700214,1.22168,1.22233,1.22067,1.22101,3333.0
19700215,1.22102,1.22154,1.22046,1.22086,2333.0
19700216,1.22085,1.22166,1.22042,1.22161,2236.0
19700217,1.22163,1.22237,1.22128,1.22185,2049.0
